c_e ($/kWh),MaxEnergy at Merge (GW),MaxEnergy 2021 avg (GW),MaxEnergy at EIP1559 (GW),θ_ETC_post (MH/J),n_mig,n_res,ē_mig (MH/J),ē_res (MH/J),P_BU_hybrid (GW),post_lo (GW),post_hi (GW),post_mid (GW),Saved mid (GW),Saved (%)
0.03,29.64,82.21,69.75,0.3,118,85,0.5906,0.193,5.342,0.059,0.464,0.261,5.081,95.1
0.05,17.79,49.33,41.85,0.5,46,157,0.8965,0.2857,3.605,0.059,0.278,0.169,3.437,95.3
0.07,12.7,35.23,29.89,0.7,20,183,1.3289,0.3252,3.145,0.059,0.199,0.129,3.016,95.9
0.1,8.89,24.66,20.93,1.0,13,190,1.6235,0.3421,2.98,0.059,0.139,0.099,2.881,96.7
0.15,5.93,16.44,13.95,1.5,7,196,1.9867,0.3683,2.761,0.059,0.093,0.076,2.685,97.3
